case_id,judge_id
32044049817315_0152,1360
32044046873683_0504,
32044046873683_0213,192
32044049817315_0264,
32044049817315_0558,1543
32044046873683_0056,
32044046873683_0044,2541
32044049817315_0326,164
32044049817315_0373,
32044049817315_0074,
32044049817315_0034,
32044046873683_0598,
32044049817315_0185,424
32044046873683_0545,
32044046873683_0413,1091
32044046873683_0572,1417
32044049817315_0382,
32044046873683_0139,
32044049817315_0124,621
32044046873683_0334,2645
32044046873683_0284,
32044046873683_0395,192
32044046873683_0276,
32044049817315_0273,
32044049817315_0557,1318
32044046873683_0084,
32044046873683_0272,591
32044049817315_0122,
32044046873683_0569,1065
32044049817315_0357,154
32044046873683_0102,2545
32044049817315_0245,
32044046873683_0599,1523
32044046873683_0075,192
32044046873683_0125,2502
32044046873683_0052,354
32044049817315_0085,1430
32044046873683_0446,1486
32044046873683_0533,2541
32044049817315_0103,621
32044046873683_0006,2387
32044046873683_0254,2106
32044046873683_0161,164
32044049817315_0454,1430
32044049817315_0158,
32044046873683_0526,197
32044046873683_0145,1745
32044046873683_0088,
32044049817315_0113,
32044049817315_0511,621
32044046873683_0345,2485
32044046873683_0529,192
32044049817315_0252,
32044046873683_0298,
32044049817315_0310,
32044049817315_0314,154
32044049817315_0206,
32044046873683_0635,192
32044049817315_0296,154
32044049817315_0161,
32044049817315_0272,
32044049817315_0393,621
32044046873683_0177,
32044046873683_0283,140
32044049817315_0248,
32044046873683_0080,2302
32044046873683_0362,
32044046873683_0246,164
32044049817315_0017,1744
32044049817315_0199,164
32044046873683_0182,
32044046873683_0269,
32044049817315_0125,192
32044049817315_0348,2502
32044046873683_0031,346
32044049817315_0535,
32044049817315_0431,2650
32044046873683_0196,621
32044046873683_0389,
32044046873683_0562,88
32044046873683_0459,2502
32044046873683_0017,
32044046873683_0037,
32044046873683_0239,1188
32044046873683_0346,786
32044049817315_0496,460
32044049817315_0379,
32044046873683_0469,154
32044049817315_0183,192
32044046873683_0613,
32044046873683_0550,784
32044049817315_0022,164
32044049817315_0482,2485
32044046873683_0370,
32044046873683_0343,2256
32044049817315_0005,547
32044046873683_0069,2510
32044049817315_0362,192
32044046873683_0091,
32044049817315_0137,
32044046873683_0170,1094
32044046873683_0164,154
32044049817315_0188,154
32044046873683_0012,
32044049817315_0506,
32044046873683_0290,
32044046873683_0388,2180
32044049817315_0269,192
32044046873683_0004,336
32044046873683_0294,284
32044049817315_0299,
32044046873683_0426,591
32044046873683_0537,
32044049817315_0500,2813
32044046873683_0314,2302
32044049817315_0383,
32044049817315_0473,2813
32044046873683_0099,916
32044046873683_0520,2474
32044046873683_0500,164
32044049817315_0209,
32044046873683_0514,
32044049817315_0375,2813
